id_wad,award_year,wad_title,iwad,num_levels,single_player,cooperative,deathmatch,skill_levels,size_mb,download_url
0001,2004,Action Doom,Doom 2,6,TRUE,FALSE,FALSE,TRUE,14.35,www.doomworld.com/idgames/levels/doom2/Ports/a-c/action
0002,2004,Decade,Doom 2,1,TRUE,FALSE,FALSE,TRUE,0.63,www.doomworld.com/idgames/levels/doom2/Ports/d-f/decade
0003,2004,RTC-3057: Blue,Doom 2,7,TRUE,FALSE,FALSE,FALSE,52.75,www.doomworld.com/idgames/levels/doom2/Ports/0-9/3057hub1
0004,2004,Grove,Doom 2,1,TRUE,TRUE,TRUE,TRUE,0.56,www.doomworld.com/idgames/levels/doom2/Ports/g-i/grove
0005,2004,Tremor: Part I - Genesis,Doom 2,1,TRUE,FALSE,FALSE,TRUE,0.83,www.doomworld.com/idgames/levels/doom2/Ports/s-u/tremor
0006,2004,Chosen 1.33,Doom 2,10,TRUE,FALSE,FALSE,FALSE,8.92,www.doomworld.com/idgames/levels/doom2/Ports/a-c/ch133
0007,2004,Phobos Revisited,Doom,9,TRUE,FALSE,TRUE,TRUE,0.8,www.doomworld.com/idgames/levels/doom/p-r/phobos-v
0008,2004,Hell Revealed 2,Doom 2,32,TRUE,FALSE,FALSE,TRUE,2.43,www.doomworld.com/idgames/themes/hr/hr2final
0009,2004,Community Chest 2,Doom 2,32,TRUE,TRUE,FALSE,TRUE,8.5,www.doomworld.com/idgames/levels/doom2/Ports/megawads/cchest2
0010,2004,ZDoom Community Maps,Doom 2,1,TRUE,TRUE,FALSE,TRUE,6.42,www.doomworld.com/idgames/levels/doom2/Ports/v-z/zdmcmp1
0011,2005,Simplicity,Doom 2,30,TRUE,TRUE,FALSE,TRUE,15.23,www.doomworld.com/idgames/levels/doom2/Ports/megawads/sp_usimp
0012,2005,Scythe 2,Doom 2,32,TRUE,TRUE,FALSE,TRUE,7.73,www.doomworld.com/idgames/levels/doom2/Ports/megawads/scythe2
0013,2005,HedRox,Doom 2,1,TRUE,FALSE,TRUE,FALSE,0.49,www.doomworld.com/idgames/levels/doom2/Ports/g-i/hedrox
0014,2005,Suspended in Dusk,Doom 2,4,TRUE,FALSE,FALSE,FALSE,1.84,www.doomworld.com/idgames/levels/doom2/s-u/sid
